"group","F2O7_S29_L004","F2R23_S11_L004","F1O10_S21_L004","F2R33_S16_L004","F1O8_S19_L004","F2O15_S33_L004","F1O9_S20_L004","F2R24_S12_L004","F1R11_S9_L004","F1O11_S22_L004","F2R26_S13_L004","F2R35_S17_L004","F2O1_S26_L004","F204_S27_L004","F1R5_S6_L004","F2O9_S30_L004","F2R22_S10_L004","F1O12_S23_L004","F2O14_S32_L004","F1R3_S4_L004","F1R9_S8_L004","F1O13_S24_L004","F1O14_S25_L004","F1R1_S3_L004","F2O12_S31_L004","F2R30_S15_L004","F2R28_S14_L004","F1O3_S18_L004","F1R7_S7_L004","F2O5_S28_L004","F1R4_S5_L004"
"APH3-DPRIME",174.312061104514,419.260576800915,331.777618217253,183.588169133964,370.683915152668,181.113753954047,340.373061888396,242.782637263357,226.3389976339,438.411078717201,252.015105006294,151.031396936144,178.320436186151,302.10306474331,220.851349336514,556.590647873692,236.533156124771,285.318629942067,184.976310020508,238.660246856968,98.7899740708729,564.009767157931,409.391369418808,140.614723549787,252.440933144518,231.589060684601,376.051672739318,315.641963653528,250.396424967565,718.632023095714,390.999762526716
"BACA",41.826098429872,102.443569220345,55.3390091291414,55.7041675532723,79.4254732236279,81.9008852161546,42.0284912243881,84.2470535090961,63.7413063741306,15.045814244065,93.7658724024468,46.1727084281308,54.8012912592867,74.2629559473505,62.2297599522886,33.9362410017543,82.8852775931855,99.146254700681,57.4923979916555,74.8022469333945,39.4122731201383,131.638615156536,19.5497630331754,45.6438812645241,81.5631909766217,70.6944320314595,140.112620072872,65.8779797026198,22.2959012060929,66.8443260048856,1.21705058180955
"BLAA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.592417061611374,0,0,0,0,0,0,0,0
"SRT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.05678474530934,2.59291270527226,0,0,1.42500109615469,0,0,0,0,0,0,0
"CFX",0,70.8084529708212,67.6736075494923,0,0.760962617711405,22.9273436158996,0.262350132486817,0,0,63.0987088713036,26.6766777819491,0,0,34.751566370392,0.764127031459669,39.5015425564092,0,0,61.2403648964005,0,9.59377700950735,3.79349437516351,54.0970316787229,0,0,0,32.1629678701557,78.7998583903705,0,0,2.79031109000237
"AMPH",31.9303338171263,85.6731461483081,46.7227407939276,33.8480712526978,66.0135070864644,53.137490498026,41.6087310124092,71.5165701613897,40.3312540331254,24.4689712619742,49.3121038800433,28.1738207189443,33.5789197287738,48.618194181359,40.312360220665,55.89498517936,69.8966954630581,61.388352474845,37.6387808500106,41.9962551110092,57.0440795159896,91.785122525508,25.2244948865054,24.1263647125882,54.5576507415965,48.730896416123,73.4017886717456,59.9185744630635,29.0231127768968,63.7352875860537,1.69199715032059
"SHV",0,1.18578748994198,0,0,5.35844509971781,0,0,69.0526056424788,0,0,0,0,0,0,0,0,51.2293844016191,6.27604431344649,0,0,0,0,0,0,0,0,0,2.44866650932263,0,0,0
"PBP4B",34.9357141809972,90.4586456612883,51.236024207611,37.0702495668298,67.3134848917214,59.7091782938133,40.0608652307369,50.9219333908258,43.9341793934179,20.8246563931695,55.0758562816068,31.2578997927094,37.7801461161825,53.0865996405848,44.7666616967348,48.5754037868248,49.9607321935601,63.0145339973575,41.510501378969,46.5245137376285,68.1071737251513,99.9389552629284,25.3492142678972,27.1517516551936,60.1475739733174,53.8922155688623,81.8482941371315,58.5319801746519,31.2334822930181,63.9573617588274,2.25599620042745
"BLAEC",31.0507102959933,72.5024350993097,43.0813416760693,32.3281758215035,56.6600082437617,52.2056840195189,28.5436944145657,44.1254979261632,38.5566788556679,15.6184922948771,48.1637700682375,27.3269629404924,32.8993095778694,45.7525863325077,39.865066348591,41.0138527614784,43.4160977869067,54.5787173493241,37.1437663531575,41.1173525927624,59.80985306828,83.1516525682393,20.6098777750062,23.6769412899548,51.9241757968746,46.5635892394316,71.6131169261345,49.4748642907718,30.2244005573975,38.4188318898512,2.19662787936357
"BLAZ",0,0,0.512873115191302,0,1.23656425378103,0,0.996930503449904,0,0,0.728862973760933,0,0,0,0,0,0,0,0.558999898363655,0,0,0,2.3981860992413,1.40309304065852,0,0,0,0,2.77318857682322,0,0,0
