Node.Name,Contrast,logFC,CI.L,CI.R,AveExpr,t,P.Value,adj.P.Val,B
MDTG,TimePre...TimePost,-0.223025090197855,-0.838115375313726,0.392065194918015,5.36983665063841,-0.740955769512488,0.464563733209677,0.536775712465068,-7.77399150655168
EMRY,TimePre...TimePost,0.159244085050886,-0.619087721868132,0.937575891969903,5.34797896903023,0.41809594891423,0.678897557581053,0.729195694578142,-7.96489693187219
MDTN,TimePre...TimePost,-0.381800575459574,-0.970752937104626,0.207151786185477,5.28101076674756,-1.3247497283484,0.195400799088126,0.270176665208467,-7.17454015296437
BLAEC,TimePre...TimePost,-0.170119232843259,-0.787789448780746,0.447550983094228,5.26595747440705,-0.562826041297544,0.577795855082649,0.647479777303671,-7.89218936165123
MDTH,TimePre...TimePost,-0.17346713200179,-0.841922129404885,0.494987865401306,5.23285984478963,-0.530301007038306,0.599863088928539,0.665519745428181,-7.91036538639768
MDFA,TimePre...TimePost,-0.152969135872732,-0.8496124586561,0.543674186910635,5.14801093166429,-0.448715180717,0.656908090329354,0.715912844870153,-7.9512778899966
ERMB,TimePre...TimePost,-0.891346615888533,-2.62428872783825,0.841595496061185,5.03895355423991,-1.05109021355092,0.301731065009678,0.382306974415672,-7.49479768366497
EMRK,TimePre...TimePost,0.091232080532107,-0.632087692235107,0.814551853299321,4.95283606579608,0.257747623634154,0.798386933489693,0.824260584112045,-8.02063159131482
BAER,TimePre...TimePost,-0.291765581229406,-0.83175066114776,0.248219498688948,4.78277318994331,-1.10415419289407,0.27843001596936,0.360987753262601,-7.43797448213781
TETH,TimePre...TimePost,-2.49417758071511,-3.97709147591712,-1.01126368551309,4.68566440603255,-3.4648314286535,0.00193694576468951,0.00469498810354088,-2.88349643982092
ACRB,TimePre...TimePost,0.312894203093824,-0.16003511940471,0.785823525592359,4.6482046129021,1.3585303319757,0.185717291623406,0.263789528866366,-7.07990861440548
AAC3,TimePre...TimePost,-0.703393539218089,-1.51584106402806,0.109053985591881,4.62447027199828,-1.76921447171964,0.087171688055679,0.137867279690897,-6.5185443197905
CRP,TimePre...TimePost,-0.230960993654928,-0.796829506935419,0.334907519625563,4.47939491647174,-0.83406623128826,0.410930747792019,0.482302930303265,-7.6998236301169
CEPA,TimePre...TimePost,0.369570060962178,-1.24449837159279,1.98363849351714,4.40174277001693,0.470837071555986,0.641715218351283,0.708428186595723,-7.87025413545533
GADX,TimePre...TimePost,0.0742815366273346,-0.652300871150474,0.800863944405144,4.38049776892354,0.208916830704736,0.835945608518964,0.859059311980318,-8.03237715790752
CMXAB,TimePre...TimePost,-1.21561418426448,-2.41186020123753,-0.0193681672914314,4.32134169179223,-2.08627567869335,0.0466529793272919,0.0810604942203429,-5.91488506531957
ACRS,TimePre...TimePost,-0.0364783003006721,-0.670469179689602,0.597512579088258,4.29037891976612,-0.117578796941311,0.907196389352227,0.91956724920703,-8.04776191565065
EMRR,TimePre...TimePost,-0.154323709899136,-0.719332042211526,0.410684622413255,4.16633941619386,-0.558155528375773,0.580939850562106,0.647747933376748,-7.89486454120775
MEFA,TimePre...TimePost,-1.17631661505545,-2.27478113846209,-0.0778520916488161,4.16569082376744,-2.195056691546,0.0367442163426047,0.0645193720031562,-5.72354651624163
MPHA,TimePre...TimePost,0.744862610755168,-0.565153765477875,2.05487898698821,4.15859554484754,1.16720323608078,0.253435663770578,0.332447958946111,-7.3167709747318
EVGA,TimePre...TimePost,0.242992137478278,-0.423985454778082,0.909969729734637,3.93473326415092,0.744489206481291,0.462456220076858,0.536775712465068,-7.77133076345643
DFRF,TimePre...TimePost,-0.805358704781364,-1.43906540551735,-0.171652004045376,3.91823631609813,-2.5970390860918,0.0145067938784268,0.0276934611923922,-4.91787797374369
TETL,TimePre...TimePost,-1.41155503857231,-2.80220401881934,-0.020906058325276,3.85770696077687,-2.08656276951067,0.0468914966566109,0.0810604942203429,-5.89192331219501
APH2-DPRIME,TimePre...TimePost,-2.0058607635671,-3.24525321972948,-0.766468307404727,3.79382256228718,-3.32799602017551,0.00263654743588648,0.00599949059390495,-3.21050230164772
CMY,TimePre...TimePost,-0.528743846986599,-3.06475162342829,2.00726392945509,3.69043472282342,-0.440463330826308,0.665245743197096,0.720144663752196,-7.65112113220852
MARA,TimePre...TimePost,0.0784122010613473,-0.518163341610428,0.674987743733123,3.47073469200038,0.268593580089223,0.79010741029267,0.823139865429116,-8.01769054636945
HNS,TimePre...TimePost,0.0932424595123806,-0.466883286567861,0.653368205592623,3.4602340689106,0.340177522087959,0.736127472374023,0.781697268282891,-7.9952581911056
TETD,TimePre...TimePost,-0.424222358644935,-1.16565457463098,0.31720985734111,3.41356611349951,-1.17282842970801,0.250894162524139,0.331061528064397,-7.32696303014967
sme,TimePre...TimePost,-6.36195195984998,-7.54280409875601,-5.18109982094395,3.28358810830967,-11.2824624643486,7.98675428989109e-10,1.48420517220476e-08,12.5358462939966
TETX,TimePre...TimePost,-2.33645027256981,-4.14067932293602,-0.532221222203593,3.20972519927162,-2.70036388578406,0.0137253933802563,0.0268487958227821,-4.60410466540595
ERMF,TimePre...TimePost,-3.13778904867551,-4.60142336457935,-1.67415473277168,3.06808436449969,-4.48256749262872,0.000246727738321189,0.000809121847729781,-0.614729495987028
TET33,TimePre...TimePost,-1.55581149304051,-3.39406080919142,0.282437823110404,3.05320667258494,-1.75193661206132,0.0932628652012692,0.145437894684497,-6.42551742415026
APH4,TimePre...TimePost,-1.21316380602118,-2.5264826597394,0.100155047697046,2.97058453301417,-1.90603351445774,0.0686342377802586,0.114219664365654,-6.19829874948952
TETZ,TimePre...TimePost,-1.86544526049145,-2.94554213599665,-0.78534838498625,2.87288660473175,-3.56231353764916,0.00155778855933099,0.00385985387478678,-2.64113908476275
ANT2-DPRIME,TimePre...TimePost,-1.0060562023257,-2.45037386310822,0.438261458456822,2.81722329437542,-1.44836985914587,0.162246360890803,0.236476722082674,-6.78872500031297
DFRA,TimePre...TimePost,1.15548177395046,0.266809412956988,2.04415413494393,2.79624571590364,2.66490749834184,0.0127034682045174,0.0250696761912158,-4.75195664142129
CATA,TimePre...TimePost,-2.25411181291127,-3.86771139780629,-0.640512228016254,2.71132484820498,-2.87855420290246,0.00811630816580671,0.0170748747261783,-4.24668911399032
APH6-PRIME,TimePre...TimePost,-1.53643133996145,-2.74333327588567,-0.329529404037236,2.69253941672588,-2.62060457988711,0.0146539391062882,0.0276934611923922,-4.81875616347494
TET32,TimePre...TimePost,-2.61418419994676,-4.09209811664027,-1.13627028325326,2.68576367457283,-3.73499832672746,0.00167425109467017,0.00410283510012581,-2.39564274216946
LNUC,TimePre...TimePost,-1.46337764434545,-2.72624259783904,-0.200512690851852,2.59533634783363,-2.37438886991571,0.0247213819377187,0.0459405681009272,-5.36976529580631
MSRC,TimePre...TimePost,-4.26551882576673,-5.38309048118715,-3.1479471703463,2.42394877436769,-8.13994945046263,7.27584076256357e-07,4.26976971066231e-06,5.67511679477832
ADEC,TimePre...TimePost,-4.65276956558292,-5.76177909509362,-3.54376003607222,2.38999324171041,-8.89024676615127,1.31985010055247e-07,1.17730628969281e-06,7.34075566616896
LNUA,TimePre...TimePost,-1.05093087082176,-2.75836653722071,0.656504795577189,2.3061585542537,-1.29454606991195,0.212085508257755,0.288384563057801,-6.9692903223336
CFX,TimePre...TimePost,-1.40596411768105,-3.1662277793244,0.354299543962304,2.28433814588461,-1.67879448839803,0.11057283261663,0.166606362658841,-6.42170169131888
TETG,TimePre...TimePost,-3.87381415137607,-5.81657253985901,-1.93105576289312,2.25872726411181,-4.2302750194291,0.000649157758575774,0.00178718740941232,-1.39286312947461
