Node.Name,Contrast,logFC,CI.L,CI.R,AveExpr,t,P.Value,adj.P.Val,B
SULI,Group_labelFarm1_Post.Group_labelFarm2_Post,2.17414070748483,1.35597271175622,2.99230870321344,8.38702636195668,4.72897031585759,6.05895363597847e-05,0.000198698038356353,0.43589370717641
ANT3-DPRIME,Group_labelFarm1_Post.Group_labelFarm2_Post,2.17260863668708,1.01760818849445,3.32760908487971,8.21972665826448,3.85634414147282,0.000631413566263387,0.0016762526818659,-1.87993873142075
APH3-DPRIME,Group_labelFarm1_Post.Group_labelFarm2_Post,0.446369709565344,-1.66018769811818,2.55292711724887,8.09199470247659,1.54336390029451,0.134175572905897,0.247282254198472,-6.84939902409963
TETQ,Group_labelFarm1_Post.Group_labelFarm2_Post,2.13337221304915,1.46968942816198,2.79705499793633,7.71002962547425,3.00981061740801,0.00554527928817403,0.0124908816289173,-3.97924909779495
TEM,Group_labelFarm1_Post.Group_labelFarm2_Post,-2.36593576858621,-3.79315016153684,-0.938721375635577,7.57135891825151,-1.67281483765439,0.105706663736485,0.198088958094421,-6.65245346446271
APH6,Group_labelFarm1_Post.Group_labelFarm2_Post,0.282674686073174,-1.39279595950882,1.95814533165517,7.13440235990947,0.868830123494245,0.392461429757133,0.612020271579305,-7.64637627691813
APH3-PRIME,Group_labelFarm1_Post.Group_labelFarm2_Post,0.438460084988006,-1.2506336301849,2.12755380016091,7.02141289980764,1.33198439018748,0.193802290040959,0.340298509284519,-7.14189955274675
TETO,Group_labelFarm1_Post.Group_labelFarm2_Post,1.48611424375351,0.326535148463539,2.64569333904348,6.97733859777963,2.64398746325323,0.0133766874490034,0.0286827048185361,-4.80799009726569
CTX,Group_labelFarm1_Post.Group_labelFarm2_Post,-1.87179763010263,-1.91975760644996,-1.82383765375531,6.64323818414617,-2.42564388082491,0.0223802020406794,0.0466428509819768,-5.27796863826108
EVGS,Group_labelFarm1_Post.Group_labelFarm2_Post,-0.563669128436252,-1.52727020017621,0.399931943303702,6.48042604041766,-1.07662329392244,0.291005241023024,0.480697546282477,-7.44415813413456
TET40,Group_labelFarm1_Post.Group_labelFarm2_Post,2.05028518947292,1.21673228603101,2.88383809291483,6.38717340401534,2.80493403546045,0.009305957825132,0.0203453783823964,-4.42742070231363
ANT6,Group_labelFarm1_Post.Group_labelFarm2_Post,1.13431888477176,0.763611878528376,1.50502589101515,6.38655214020892,2.50780371405568,0.0183410589877242,0.0385854354175708,-5.10045834590443
TETB,Group_labelFarm1_Post.Group_labelFarm2_Post,0.430372134927302,-0.246145139429745,1.10688940928435,5.86775015987375,0.644646740841397,0.524913321818132,0.757555048147836,-7.817889914159
BACA,Group_labelFarm1_Post.Group_labelFarm2_Post,-0.197427767465337,-0.859644289329643,0.464788754398969,5.7594849883494,-0.37703257133395,0.709043914453934,0.946807143252857,-7.95846275157192
